month,interest,scheduled_principal,prepayment,recovery,loss,total_cf,avg_survival,cumulative_cf,principal_return
134,4559140.767629413,3050641.6522679967,36.754623540889405,1.9775204089838174,0.659173469661273,7609821.152041364,0.550177795569451,2099274476.3567457,3050680.3844119464
135,4547318.5206929315,3062463.643566188,0.0,1.8688633993794765e-33,6.229544664598255e-34,7609782.16425909,0.550177795569451,2106884258.521005,3062463.643566188
136,4535446.461461841,3074335.7027972937,22.129779078670694,1.122035618271278,0.3740118727570918,7609805.416073816,0.5501777829938842,2114494063.9370787,3074358.9546119906
137,4523524.13406333,3086257.877368895,1.1663463731087977,0.036183150873769866,0.012061050291256616,7609783.213961763,0.550177782283299,2122103847.1510406,3086259.079898419
138,4511551.4735702295,3098230.5301402016,7.584105574380977,0.36589649145732045,0.12196549715244033,7609789.953712479,0.5501777778452459,2129713637.104753,3098238.4801422674
139,4499528.143794255,3110253.807312477,21.639902197816856,1.1822778942877146,0.39409263142924145,7609804.773286812,0.5501777652217354,2137323441.8780398,3110276.629492569
140,4487453.882944499,3122327.9158594813,3.709431295196654,0.10183014726078309,0.033943382420261015,7609785.610065412,0.5501777629445896,2144933227.4881053,3122331.727120924
141,4475328.585598446,3134453.1893082056,6.451132886908445,0.19498980915276112,0.0649966030509204,7609788.421029339,0.5501777590239911,2152543015.909135,3134459.835430902
142,4463151.935118777,3146629.7966915993,6.323008177183497,0.2664024067685443,0.08880080225618162,7609788.32122092,0.5501777553823608,2160152804.2303557,3146636.3861021833
143,4450923.70668236,3158857.982424474,4.347476638824631,0.21806077982583266,0.07268692660861091,7609786.254644243,0.5501777528566167,2167762590.485,3158862.5479618926
144,4438643.670470978,3171137.989046103,3.639855028896294,0.18343874131900997,0.06114624710633656,7609785.482810856,0.5501777508038321,2175372375.967811,3171141.812339873
145,4426311.583975965,3183470.049887899,1.815313190556976,0.1079893799437115,0.03599645998123717,7609783.557166439,0.5501777497701423,2182982159.5249777,3183471.9731904697
146,4413927.2131354585,3195854.407615164,8.521845945702259,0.43940422332853035,0.14646807444284365,7609790.582000828,0.5501777447487572,2190591950.1069784,3195863.3688653326
147,4401490.286536886,3208291.2742323927,0.0,0.0,0.0,7609781.5607693065,0.5501777447487572,2198201731.6677475,3208291.2742323927
148,4389000.620514135,3220780.9402551684,27.537481067674868,1.4550186584691662,0.485006219489722,7609810.553269063,0.5501777285527942,2205811542.2210164,3220809.9327548947
149,4376457.836141655,3233323.5271804356,1.9089402747718691,0.07645462198581278,0.025484873995270895,7609783.348716992,0.5501777273938381,2213421325.5697336,3233325.5125753325
150,4363861.892622047,3245919.4577639345,6.1532055824968035,0.23452978782538877,0.0781765959417964,7609787.738121369,0.5501777236344787,2221031113.307855,3245925.8454993046
151,4351212.432405895,3258568.875857027,5.863873780916814,0.17172526317111397,0.05724175439037137,7609787.343861962,0.5501777200315576,2228640900.651717,3258574.911456071
152,4338509.22620278,3271272.0422400613,2.483174333956329,0.06678018513703271,0.022260061712344258,7609783.818397368,0.550177718326115,2236250684.4701147,3271274.5921945805
153,4325752.037300123,3284029.2154794396,2.644796338443489,0.07823593153028072,0.026078643843426903,7609783.975811808,0.5501777166009291,2243860468.4459267,3284031.9385117097
154,4312940.605031578,3296840.6311273896,6.369491007755068,0.17527383721438985,0.058424612404796725,7609787.7809237875,0.5501777126919881,2251470256.2268505,3296847.1758922343
155,4300074.667224405,3309706.526021611,5.878027858256388,0.22482551721723829,0.07494183907241274,7609787.2960994085,0.5501777091011398,2259080043.5229497,3309712.6288749864
156,4287153.98677003,3322627.1648173695,4.499004696775256,0.21808704486047137,0.07269568162015706,7609785.868679115,0.5501777062937588,2266689829.3916287,3322631.8819091115
157,4274178.315684299,3335602.8034219895,3.712251796541109,0.20001676939129226,0.06667225646376408,7609785.031374872,0.5501777040503334,2274299614.4230037,3335606.7156905555
158,4261147.398966618,3348633.6928181155,2.0485368029828814,0.1215434874526049,0.04051449581753498,7609783.261864981,0.550177702821084,2281909397.684869,3348635.862898406
159,4248060.985895981,3361720.0908446503,0.5237334991823978,0.027359539705889488,0.009119846568629828,7609781.627833657,0.5501777025135892,2289519179.3127027,3361720.641937689
160,4234918.820440074,3374862.252367976,6.338998760098532,0.336193392167161,0.1120644640557203,7609787.748000171,0.550177698635566,2297128967.060703,3374868.9275601283
161,4221720.61736755,3388060.407811899,7.28510644459187,0.3959013563961717,0.1319671187987242,7609788.706187237,0.5501776941708129,2304738755.76689,3388068.0888197003
162,4208466.13818583,3401314.832935753,10.67313247640224,0.5323154202486637,0.17743847341622174,7609792.176569464,0.5501776876779255,2312348547.9434595,3401326.0383836497
